site_id,label,ml_um,ap_um,dv_um,allen_region_id,acronym,mean_firing_rate_hz,good_unit_count
209,ch208-209,-2267.0,-5240.0,-4230.0,-728,arb,,0
207,ch206-207,-2273.0,-5238.0,-4248.0,-728,arb,38.36285940806071,3
205,ch204-205,-2279.0,-5236.0,-4267.0,-728,arb,11.993846893310547,2
203,ch202-203,-2285.0,-5234.0,-4285.0,-771,P,6.059269428253174,4
201,ch200-201,-2292.0,-5231.0,-4304.0,-771,P,37.148104667663574,4
199,ch198-199,-2298.0,-5229.0,-4322.0,-771,P,13.470099639892577,5
197,ch196-197,-2304.0,-5227.0,-4341.0,-771,P,12.669448852539062,3
195,ch194-195,-2310.0,-5225.0,-4360.0,-771,P,7.946779886881511,3
193,ch192-193,-2315.0,-5224.0,-4378.0,-771,P,59.79758961995443,3
191,ch190-191,-2320.0,-5222.0,-4398.0,-771,P,4.803163051605225,1
189,ch188-189,-2324.0,-5220.0,-4417.0,-771,P,8.6015804708004,2
187,ch186-187,-2328.0,-5219.0,-4436.0,-771,P,10.453724225362143,3
185,ch184-185,-2333.0,-5217.0,-4455.0,-771,P,30.085272471110027,3
183,ch182-183,-2337.0,-5216.0,-4474.0,-771,P,,0
181,ch180-181,-2342.0,-5214.0,-4493.0,-771,P,1.3824259042739868,2
179,ch178-179,-2346.0,-5213.0,-4512.0,-771,P,2.432551383972168,4
177,ch176-177,-2350.0,-5211.0,-4531.0,-771,P,7.26401162147522,4
175,ch174-175,-2355.0,-5210.0,-4551.0,-101,VCO,3.093724012374878,4
173,ch172-173,-2359.0,-5208.0,-4570.0,-101,VCO,5.76212215423584,1
171,ch170-171,-2364.0,-5207.0,-4589.0,-101,VCO,6.617771148681641,2
169,ch168-169,-2368.0,-5205.0,-4608.0,-101,VCO,2.3490548133850098,1
167,ch166-167,-2372.0,-5204.0,-4627.0,-101,VCO,,0
165,ch164-165,-2377.0,-5202.0,-4646.0,-101,VCO,9.824915647506714,2
163,ch162-163,-2381.0,-5201.0,-4665.0,-101,VCO,10.075114250183105,1
161,ch160-161,-2386.0,-5199.0,-4684.0,-101,VCO,,0
159,ch158-159,-2391.0,-5197.0,-4703.0,-101,VCO,10.972831010818481,2
157,ch156-157,-2397.0,-5194.0,-4721.0,-771,P,8.160333514213562,4
155,ch154-155,-2403.0,-5191.0,-4740.0,-771,P,21.564146041870117,2
153,ch152-153,-2409.0,-5188.0,-4758.0,-771,P,11.773242473602295,3
151,ch150-151,-2416.0,-5185.0,-4777.0,-771,P,9.504626546587263,7
149,ch148-149,-2422.0,-5182.0,-4795.0,-771,P,5.873992919921875,3
147,ch146-147,-2428.0,-5179.0,-4814.0,-354,MY,9.211388349533081,4
145,ch144-145,-2434.0,-5176.0,-4832.0,-354,MY,3.130601167678833,3
143,ch142-143,-2440.0,-5173.0,-4851.0,-354,MY,9.980984687805176,4
141,ch140-141,-2444.0,-5171.0,-4870.0,-413,vVIIIn,,0
139,ch138-139,-2449.0,-5168.0,-4889.0,-413,vVIIIn,11.594124952952066,3
137,ch136-137,-2454.0,-5166.0,-4908.0,-413,vVIIIn,6.093783537546794,3
135,ch134-135,-2459.0,-5164.0,-4927.0,-413,vVIIIn,9.241138577461243,4
133,ch132-133,-2463.0,-5161.0,-4946.0,-413,vVIIIn,7.767290306091309,5
131,ch130-131,-2468.0,-5159.0,-4964.0,-413,vVIIIn,5.210194451468332,7
129,ch128-129,-2473.0,-5156.0,-4983.0,-413,vVIIIn,10.22237434387207,5
127,ch126-127,-2477.0,-5154.0,-5002.0,-413,vVIIIn,3.3452011346817017,4
125,ch124-125,-2482.0,-5151.0,-5021.0,-413,vVIIIn,6.634737730026245,2
123,ch122-123,-2487.0,-5149.0,-5040.0,-413,vVIIIn,9.23569631576538,3
121,ch120-121,-2490.0,-5147.0,-5060.0,-413,vVIIIn,6.774383068084717,3
119,ch118-119,-2493.0,-5146.0,-5079.0,-413,vVIIIn,6.623233318328857,1
117,ch116-117,-2496.0,-5144.0,-5098.0,-413,vVIIIn,14.617852687835693,2
115,ch114-115,-2499.0,-5143.0,-5118.0,-413,vVIIIn,8.187643051147461,3
113,ch112-113,-2502.0,-5141.0,-5137.0,-413,vVIIIn,10.065526962280273,4
111,ch110-111,-2505.0,-5140.0,-5157.0,-413,vVIIIn,5.881004333496094,2
109,ch108-109,-2508.0,-5139.0,-5176.0,-413,vVIIIn,11.894603729248047,6
107,ch106-107,-2511.0,-5137.0,-5195.0,-413,vVIIIn,6.796036511659622,4
105,ch104-105,-2514.0,-5136.0,-5215.0,-413,vVIIIn,,0
103,ch102-103,-2517.0,-5134.0,-5234.0,-413,vVIIIn,5.520484368006389,3
101,ch100-101,-2520.0,-5133.0,-5253.0,-413,vVIIIn,9.055493831634521,2
99,ch098-099,-2523.0,-5131.0,-5273.0,-413,vVIIIn,5.533886919418971,3
97,ch096-097,-2526.0,-5130.0,-5292.0,-413,vVIIIn,3.6885994970798492,4
95,ch094-095,-2529.0,-5129.0,-5312.0,-413,vVIIIn,4.286380290985107,4
93,ch092-093,-2532.0,-5127.0,-5331.0,-413,vVIIIn,5.0811357498168945,1
91,ch090-091,-2535.0,-5126.0,-5350.0,-413,vVIIIn,3.2062149047851562,3
89,ch088-089,-2538.0,-5125.0,-5370.0,-413,vVIIIn,3.764949083328247,1
87,ch086-087,-2542.0,-5125.0,-5389.0,-413,vVIIIn,24.8522891998291,1
85,ch084-085,-2546.0,-5125.0,-5408.0,-413,vVIIIn,,0
83,ch082-083,-2550.0,-5125.0,-5428.0,-413,vVIIIn,2.459453821182251,1
81,ch080-081,-2554.0,-5125.0,-5447.0,-413,vVIIIn,3.053399443626404,2
79,ch078-079,-2557.0,-5125.0,-5466.0,-413,vVIIIn,18.27019437154134,3
77,ch076-077,-2561.0,-5125.0,-5486.0,-413,vVIIIn,7.514558374881744,2
75,ch074-075,-2565.0,-5125.0,-5505.0,-413,vVIIIn,12.407435417175293,1
73,ch072-073,-2569.0,-5125.0,-5524.0,-413,vVIIIn,6.110827922821045,3
71,ch070-071,-2573.0,-5125.0,-5543.0,-354,MY,,0
69,ch068-069,-2577.0,-5125.0,-5563.0,-101,VCO,4.81887457370758,5
